"Search Criteria:"

"Lease Type: Both"
"District: 10"
"Permitted Fluid: Salt Water"
"Injection Type: Disposal into a productive zone (H-1)"

"UIC No.","API No.",District,"Lease No.","Lease Name","Well No.","Field Name","Operator Name",County,Oil/Gas,"Formation Names"
000037540,29580612,10,03345,BRADFORD-LAURIE,"A  3W","BRADFORD (TONKAWA)","APC OPERATING PARTNERSHIP",LIPSCOMB,Oil,
000037544,35720061,10,03366,"WRIGHT, W. R.",1W,"CREST (DES MOINES)","BILL'S OIL FIELD SERVICE",OCHILTREE,Oil,
000037620,42100089,10,01965,"DORTCH, M",2,"JUDD (VIRGIL)","WALLACE OIL & GAS, INC.",SHERMAN,Oil,
000037621,29500199,10,03139,"PUGH UNIT R/A -A-",3W,"KIOWA CREEK, NE. (TONKAWA)","VANCE PRODUCTION COMPANY",LIPSCOMB,Oil,
000037628,48330587,10,04356,RICE,1W,"PANHANDLE WHEELER COUNTY FIELD","IRISH CITY OIL & GAS, INC.",WHEELER,Oil,
000037631,48302032,10,01374,GREGG,1W,"PANHANDLE WHEELER COUNTY FIELD","W H L OIL",WHEELER,Oil,
000037637,48380961,10,01683,WELCH,1W,"PANHANDLE (OSBORNE AREA)","PENDLETON, WALTER, JR.",WHEELER,Oil,
000037645,48301208,10,01371,MORGAN,1,"PANHANDLE (OSBORNE AREA)","MESA OPERATING LTD PARTNERSHIP",WHEELER,Oil,
000037652,34100743,10,03839,"MASTERSON RED CAVE","G  1D","PANHANDLE (RED CAVE)","CONTINENTAL NATURAL GAS, INC.",MOORE,Oil,
000037655,34130107,10,06510,HOLTORF,1,"PANHANDLE (RED CAVE)","BIG RUN PRODUCTION COMPANY",MOORE,Oil,
000037658,23301387,10,00079,"WARE -A-",12W,"PANHANDLE CARSON COUNTY FIELD","BORGER RESOURCES 3 LLC",HUTCHINSON,Oil,
000037659,06502345,10,00143,"BLOCK, IDA",6W,"PANHANDLE CARSON COUNTY FIELD","G C & W INC.",CARSON,Oil,
000037660,06530679,10,04320,BURNETT,4098W,"PANHANDLE CARSON COUNTY FIELD","B & R OIL & GAS",CARSON,Oil,
000037661,06580752,10,00076,"BLOCK, B. F.",1D,"PANHANDLE CARSON COUNTY FIELD","BRIAN PRODUCTION",CARSON,Oil,
000037662,06501973,10,06857,"WARE, R. C. ET AL",3D,"PANHANDLE CARSON COUNTY FIELD","SCOUT ENERGY MANAGEMENT LLC",CARSON,Oil,
000037664,06530120,10,04023,"SIMS -E-",4W,"PANHANDLE CARSON COUNTY FIELD","CABOT PETROLEUM CORPORATION",CARSON,Oil,
000037665,06582451,10,04030,"BURNETT -A-",15,"PANHANDLE CARSON COUNTY FIELD","CABOT PETROLEUM CORPORATION",CARSON,Oil,
000037667,06502660,10,00144,MOORE-LANGDON,2W,"PANHANDLE CARSON COUNTY FIELD","CHASE PRODUCTION COMPANY",CARSON,Oil,
000037668,06501083,10,01780,CRUMPACKER,14W,"PANHANDLE CARSON COUNTY FIELD","PANTERA ENERGY COMPANY",CARSON,Oil,
000037673,06504012,10,02117,"EMPIRE GRANITE WASH UNIT",418W,"PANHANDLE CARSON COUNTY FIELD","OXY USA INC.",CARSON,Oil,
